Status_of_Existing_Checking_Account,Duration_in_Month,Credit_History,Purpose,Credit_Amount,Savings_Account_bonds,Employment_Since,Installment_rate_in_percentage_of_disposable_income,Personal_Status_and_sex,other_debtors,Years_at_residence,Property,Age,Other_installment_plans,Housing,Number_of_Existing_credits,Job,Number_of_people_being_liable,telephone,foreign_worker,credit_risk
0 DM,48,3,5,3931,< 100 DM,4,4,male:single,none,4,unknown/no property,46,none,free,1,skilled employee,2,None,Yes,1
0-200 DM,36,4,5,7432,< 100 DM,3,2,female:divorced/separated/married,none,2,building society savings agreement/ life insurance,54,none,rent,1,skilled employee,1,None,Yes,0
No checking account,6,3,2,1338,500-1000 DM,3,1,male:divorced/separated,none,4,real estate,62,none,own,1,skilled employee,1,None,Yes,0
No checking account,6,2,6,1554,< 100 DM,4,1,female:divorced/separated/married,none,2,car or other,24,none,rent,2,skilled employee,1,yes,Yes,0
0 DM,36,3,10,15857,< 100 DM,5,2,male:divorced/separated,co-applicant,3,car or other,43,none,own,1,management/self employed,1,None,Yes,0
0 DM,18,3,6,1345,< 100 DM,3,4,male:married,none,3,real estate,26,bank,own,1,skilled employee,1,None,Yes,1
No checking account,12,3,5,1101,< 100 DM,3,3,male:married,none,2,real estate,27,none,own,2,skilled employee,1,yes,Yes,0
>200 DM,12,3,6,3016,< 100 DM,3,3,male:married,none,1,car or other,24,none,own,1,skilled employee,1,None,Yes,0
0 DM,36,3,4,2712,< 100 DM,2,2,male:single,none,2,building society savings agreement/ life insurance,41,bank,own,1,skilled employee,2,None,Yes,1
0 DM,8,2,5,731,< 100 DM,2,4,male:single,none,4,real estate,47,none,own,2,unskilled/resident,1,None,Yes,0
No checking account,18,2,4,3780,< 100 DM,1,3,male:divorced/separated,none,2,car or other,35,none,own,2,management/self employed,1,yes,Yes,0
0 DM,21,2,5,1602,< 100 DM,2,4,male:married,none,3,car or other,30,none,own,2,skilled employee,1,yes,Yes,0
0 DM,18,2,5,3966,< 100 DM,2,1,female:divorced/separated/married,none,4,real estate,33,bank,rent,3,skilled employee,1,yes,Yes,1
No checking account,18,5,1,4165,< 100 DM,3,2,male:single,none,2,car or other,36,stores,own,2,skilled employee,2,None,Yes,1
0 DM,36,3,9,8335,no savings,2,3,male:single,none,4,unknown/no property,47,none,free,1,skilled employee,1,None,Yes,1
0-200 DM,48,4,1,6681,no savings,3,4,male:single,none,4,unknown/no property,38,none,free,1,skilled employee,2,yes,Yes,0
No checking account,24,4,1,2375,500-1000 DM,3,4,male:single,none,2,car or other,44,none,own,2,skilled employee,2,yes,Yes,0
0 DM,18,3,5,1216,< 100 DM,1,4,female:divorced/separated/married,none,3,car or other,23,none,rent,1,skilled employee,1,yes,Yes,1
0 DM,45,5,1,11816,< 100 DM,2,2,male:single,none,4,car or other,29,none,rent,2,skilled employee,1,None,Yes,1
0-200 DM,24,3,6,5084,no savings,2,2,female:divorced/separated/married,none,4,car or other,42,none,own,1,skilled employee,1,yes,Yes,0
>200 DM,15,3,6,2327,< 100 DM,1,2,female:divorced/separated/married,none,3,real estate,25,none,own,1,unskilled/resident,1,None,Yes,1
0 DM,12,5,5,1082,< 100 DM,3,4,male:single,none,4,car or other,48,bank,own,2,skilled employee,1,None,Yes,1
No checking account,12,3,6,886,no savings,3,4,female:divorced/separated/married,none,2,car or other,21,none,own,1,skilled employee,1,None,Yes,0
No checking account,4,3,4,601,< 100 DM,1,1,female:divorced/separated/married,none,3,real estate,23,none,rent,1,unskilled/resident,2,None,Yes,0
0 DM,24,2,9,2957,< 100 DM,2,4,male:single,none,4,building society savings agreement/ life insurance,63,none,own,2,skilled employee,1,yes,Yes,0
No checking account,24,2,6,2611,< 100 DM,2,4,male:married,co-applicant,3,real estate,46,none,own,2,skilled employee,1,None,Yes,0
0 DM,36,3,4,5179,< 100 DM,4,4,male:single,none,2,building society savings agreement/ life insurance,29,none,own,1,skilled employee,1,None,Yes,1
No checking account,21,4,9,2993,< 100 DM,3,3,male:single,none,2,real estate,28,stores,own,2,unskilled/resident,1,None,Yes,0
No checking account,18,3,7,1943,< 100 DM,1,4,female:divorced/separated/married,none,4,real estate,23,none,own,1,skilled employee,1,None,Yes,1
No checking account,24,1,1,1559,< 100 DM,4,4,male:single,none,4,car or other,50,bank,own,1,skilled employee,1,yes,Yes,0
No checking account,18,3,4,3422,< 100 DM,2,4,male:single,none,4,building society savings agreement/ life insurance,47,bank,own,3,skilled employee,2,yes,Yes,0
0-200 DM,21,3,4,3976,no savings,4,2,male:single,none,3,car or other,35,none,own,1,skilled employee,1,yes,Yes,0
No checking account,18,3,5,6761,no savings,3,2,male:single,none,4,car or other,68,none,rent,2,skilled employee,1,None,Yes,1
No checking account,24,3,5,1249,< 100 DM,1,4,male:married,none,2,real estate,28,none,own,1,skilled employee,1,None,Yes,0
0 DM,9,3,6,1364,< 100 DM,4,3,male:single,none,4,real estate,59,none,own,1,skilled employee,1,None,Yes,0
0 DM,12,3,6,709,< 100 DM,2,4,male:single,none,4,real estate,57,stores,own,1,unskilled/resident,1,None,Yes,1
0 DM,20,2,5,2235,< 100 DM,3,4,male:married,guarantor,2,building society savings agreement/ life insurance,33,bank,rent,2,skilled employee,1,None,No,1
No checking account,24,2,9,4042,no savings,4,3,male:single,none,4,building society savings agreement/ life insurance,43,none,own,2,skilled employee,1,yes,Yes,0
No checking account,15,2,6,1471,< 100 DM,3,4,male:single,none,4,unknown/no property,35,none,free,2,skilled employee,1,yes,Yes,0
0 DM,18,1,5,1442,< 100 DM,4,4,male:single,none,4,unknown/no property,32,none,free,2,unskilled/resident,2,None,Yes,1
No checking account,36,4,5,10875,< 100 DM,2,2,male:single,none,2,car or other,45,none,own,2,skilled employee,2,yes,Yes,0
No checking account,24,3,5,1474,100-500 DM,1,4,male:married,none,3,real estate,33,none,own,1,skilled employee,1,yes,Yes,0
No checking account,10,3,8,894,no savings,4,4,female:divorced/separated/married,none,3,building society savings agreement/ life insurance,40,none,own,1,skilled employee,1,yes,Yes,0
No checking account,15,2,4,3343,< 100 DM,3,4,male:single,none,2,unknown/no property,28,none,free,1,skilled employee,1,yes,Yes,0
0 DM,15,3,5,3959,< 100 DM,3,3,female:divorced/separated/married,none,2,building society savings agreement/ life insurance,29,none,own,1,skilled employee,1,yes,Yes,1
No checking account,9,3,5,3577,100-500 DM,3,1,male:single,guarantor,2,real estate,26,none,rent,1,skilled employee,2,None,No,0
No checking account,24,2,9,5804,>1000 DM,3,4,male:single,none,2,real estate,27,none,own,2,skilled employee,1,None,Yes,0
No checking account,18,4,1,2169,< 100 DM,3,4,male:married,none,2,car or other,28,none,own,1,skilled employee,1,yes,Yes,1
0 DM,24,3,6,2439,< 100 DM,1,4,female:divorced/separated/married,none,4,real estate,35,none,own,1,skilled employee,1,yes,Yes,1
No checking account,27,2,4,4526,>1000 DM,1,4,male:single,none,2,real estate,32,stores,own,2,unskilled/resident,2,yes,Yes,0
No checking account,10,3,4,2210,< 100 DM,3,2,male:single,none,2,real estate,25,bank,rent,1,unskilled/resident,1,None,Yes,1
No checking account,15,3,4,2221,500-1000 DM,3,2,female:divorced/separated/married,none,4,car or other,20,none,rent,1,skilled employee,1,None,Yes,0
0 DM,18,3,6,2389,< 100 DM,1,4,female:divorced/separated/married,none,1,car or other,27,stores,own,1,skilled employee,1,None,Yes,0
No checking account,12,2,4,3331,< 100 DM,2,2,male:single,none,4,building society savings agreement/ life insurance,42,stores,own,1,skilled employee,1,None,Yes,0
No checking account,36,3,1,7409,no savings,2,3,male:single,none,2,building society savings agreement/ life insurance,37,none,own,2,skilled employee,1,None,Yes,0
0 DM,12,3,4,652,< 100 DM,2,4,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,24,none,rent,1,skilled employee,1,None,Yes,0
No checking account,36,4,4,7678,500-1000 DM,4,2,female:divorced/separated/married,none,4,car or other,40,none,own,2,skilled employee,1,yes,Yes,0
>200 DM,6,2,5,1343,< 100 DM,2,1,male:single,none,4,real estate,46,none,own,2,skilled employee,2,None,No,0
0 DM,24,2,1,1382,100-500 DM,4,4,male:single,none,1,real estate,26,none,own,2,skilled employee,1,yes,Yes,0
No checking account,15,3,2,874,no savings,1,4,female:divorced/separated/married,none,1,real estate,24,none,own,1,skilled employee,1,None,Yes,0
0 DM,12,3,4,3590,< 100 DM,3,2,male:single,co-applicant,2,building society savings agreement/ life insurance,29,none,own,1,unskilled/resident,2,None,Yes,0
0-200 DM,11,2,5,1322,>1000 DM,3,4,female:divorced/separated/married,none,4,car or other,40,none,own,2,skilled employee,1,None,Yes,0
0 DM,18,1,6,1940,< 100 DM,1,3,male:single,co-applicant,4,unknown/no property,36,bank,free,1,management/self employed,1,yes,Yes,0
No checking account,36,3,6,3595,< 100 DM,2,4,male:single,none,2,car or other,28,none,own,1,skilled employee,1,None,Yes,0
0 DM,9,3,5,1422,< 100 DM,1,3,male:single,none,2,unknown/no property,27,none,free,1,management/self employed,1,yes,Yes,1
No checking account,30,2,6,6742,no savings,4,2,male:single,none,3,building society savings agreement/ life insurance,36,none,own,2,skilled employee,1,None,Yes,0
No checking account,24,3,9,7814,< 100 DM,4,3,male:single,none,3,car or other,38,none,own,1,management/self employed,1,yes,Yes,0
No checking account,24,3,9,9277,no savings,3,2,male:divorced/separated,none,4,unknown/no property,48,none,free,1,skilled employee,1,yes,Yes,0
0-200 DM,30,2,5,2181,no savings,2,4,male:single,none,4,real estate,36,none,own,2,skilled employee,1,None,Yes,0
No checking account,18,2,6,1098,< 100 DM,5,4,female:divorced/separated/married,none,4,car or other,65,none,own,2,5,1,None,Yes,0
0-200 DM,24,3,4,4057,< 100 DM,4,3,male:divorced/separated,none,3,car or other,43,none,own,1,skilled employee,1,yes,Yes,1
0 DM,12,3,3,795,< 100 DM,1,4,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,53,none,own,1,skilled employee,1,None,Yes,1
0-200 DM,24,2,1,2825,no savings,4,4,male:single,none,3,unknown/no property,34,none,own,2,skilled employee,2,yes,Yes,0
0-200 DM,48,3,1,15672,< 100 DM,3,2,male:single,none,2,car or other,23,none,own,1,skilled employee,1,yes,Yes,1
No checking account,36,2,5,6614,< 100 DM,2,4,male:single,none,4,car or other,34,none,own,2,management/self employed,1,yes,Yes,0
No checking account,28,1,9,7824,no savings,1,3,male:single,guarantor,4,real estate,40,bank,rent,2,skilled employee,2,yes,Yes,0
0 DM,27,2,1,2442,< 100 DM,2,4,male:single,none,4,car or other,43,stores,own,4,management/self employed,2,yes,Yes,0
No checking account,15,2,6,1829,< 100 DM,2,4,male:single,none,4,car or other,46,none,own,2,skilled employee,1,yes,Yes,0
0 DM,12,2,5,2171,< 100 DM,3,4,male:single,none,4,building society savings agreement/ life insurance,38,bank,own,2,unskilled/resident,1,None,No,0
0-200 DM,36,2,9,5800,< 100 DM,3,3,male:single,none,4,car or other,34,none,own,2,skilled employee,1,yes,Yes,0
No checking account,18,2,6,1169,no savings,3,4,male:single,none,3,building society savings agreement/ life insurance,29,none,own,2,skilled employee,1,yes,Yes,0
No checking account,36,4,9,8947,no savings,4,3,male:single,none,2,car or other,31,stores,own,1,management/self employed,2,yes,Yes,0
0 DM,21,3,6,2606,< 100 DM,1,4,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,28,none,rent,1,management/self employed,1,yes,Yes,0
No checking account,12,2,4,1592,>1000 DM,4,3,female:divorced/separated/married,none,2,building society savings agreement/ life insurance,35,none,own,1,skilled employee,1,None,No,0
No checking account,15,3,4,2186,no savings,4,1,female:divorced/separated/married,none,4,real estate,33,bank,rent,1,unskilled/resident,1,None,Yes,0
0 DM,18,3,4,4153,< 100 DM,3,2,male:single,co-applicant,3,car or other,42,none,own,1,skilled employee,1,None,Yes,1
0 DM,16,2,5,2625,< 100 DM,2,2,male:single,guarantor,4,building society savings agreement/ life insurance,43,bank,rent,1,skilled employee,1,yes,Yes,1
No checking account,20,2,5,3485,no savings,1,2,male:divorced/separated,none,4,real estate,44,none,own,2,skilled employee,1,yes,Yes,0
No checking account,36,2,9,10477,no savings,2,2,male:single,none,4,unknown/no property,42,none,free,2,skilled employee,1,None,Yes,0
No checking account,15,3,6,1386,no savings,3,4,male:married,none,2,real estate,40,none,rent,1,skilled employee,1,yes,Yes,0
No checking account,24,3,6,1278,< 100 DM,2,4,male:single,none,1,real estate,36,none,own,1,management/self employed,1,yes,Yes,0
0 DM,12,3,6,1107,< 100 DM,3,2,male:single,none,2,real estate,20,none,rent,1,management/self employed,2,yes,Yes,0
0 DM,21,3,5,3763,no savings,4,2,male:single,co-applicant,2,real estate,24,none,own,1,unskilled/resident,1,None,No,0
0-200 DM,36,3,3,3711,no savings,3,2,male:married,none,2,car or other,27,none,own,1,skilled employee,1,None,Yes,0
No checking account,15,4,9,3594,< 100 DM,1,1,female:divorced/separated/married,none,2,building society savings agreement/ life insurance,46,none,own,2,unskilled/resident,1,None,Yes,0
0-200 DM,9,3,5,3195,no savings,3,1,female:divorced/separated/married,none,2,real estate,33,none,own,1,unskilled/resident,1,None,Yes,0
No checking account,36,4,6,4454,< 100 DM,3,4,female:divorced/separated/married,none,4,real estate,34,none,own,2,skilled employee,1,None,Yes,0
0-200 DM,24,2,4,4736,< 100 DM,1,2,female:divorced/separated/married,none,4,car or other,25,bank,own,1,unskilled/resident,1,None,Yes,1
0-200 DM,30,3,6,2991,no savings,2,2,female:divorced/separated/married,none,4,car or other,25,none,own,1,skilled employee,1,None,Yes,0
No checking account,11,3,1,2142,>1000 DM,2,1,male:divorced/separated,none,2,real estate,28,none,own,1,skilled employee,1,yes,Yes,0
0 DM,24,1,1,3161,< 100 DM,3,4,male:single,none,2,building society savings agreement/ life insurance,31,none,rent,1,skilled employee,1,yes,Yes,1
0-200 DM,48,5,10,18424,< 100 DM,3,1,female:divorced/separated/married,none,2,building society savings agreement/ life insurance,32,bank,own,1,management/self employed,1,yes,No,1
No checking account,10,3,9,2848,100-500 DM,3,1,male:single,co-applicant,2,real estate,32,none,own,1,skilled employee,2,None,Yes,0
0 DM,6,3,5,14896,< 100 DM,2,1,male:single,none,4,unknown/no property,68,bank,own,1,management/self employed,1,yes,Yes,1
0 DM,24,3,4,2359,100-500 DM,5,1,male:divorced/separated,none,1,building society savings agreement/ life insurance,33,none,own,1,skilled employee,1,None,Yes,1
0 DM,24,3,4,3345,< 100 DM,2,4,male:single,none,2,building society savings agreement/ life insurance,39,none,rent,1,management/self employed,1,yes,Yes,1
No checking account,18,2,4,1817,< 100 DM,3,4,female:divorced/separated/married,none,2,unknown/no property,28,none,own,2,skilled employee,1,None,Yes,0
No checking account,48,4,6,12749,500-1000 DM,4,4,male:single,none,1,car or other,37,none,own,1,management/self employed,1,yes,Yes,0
0 DM,9,3,6,1366,< 100 DM,1,3,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,22,none,rent,1,skilled employee,1,None,Yes,1
0-200 DM,12,3,5,2002,< 100 DM,4,3,male:single,none,4,building society savings agreement/ life insurance,30,none,rent,1,skilled employee,2,yes,Yes,0
0 DM,24,1,4,6872,< 100 DM,1,2,male:divorced/separated,none,1,building society savings agreement/ life insurance,55,bank,own,1,skilled employee,1,yes,Yes,1
0 DM,12,1,5,697,< 100 DM,1,4,male:single,none,2,car or other,46,bank,own,2,skilled employee,1,yes,Yes,1
0 DM,18,2,4,1049,< 100 DM,1,4,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,21,none,rent,1,skilled employee,1,None,Yes,0
0 DM,48,3,9,10297,< 100 DM,4,4,male:single,none,4,unknown/no property,39,stores,free,3,skilled employee,2,yes,Yes,1
No checking account,30,3,6,1867,no savings,2,4,male:single,none,4,car or other,58,none,own,1,skilled employee,1,yes,Yes,0
0 DM,12,4,5,1344,< 100 DM,3,4,male:single,none,2,real estate,43,none,own,2,unskilled/resident,2,None,Yes,0
0 DM,24,3,4,1747,< 100 DM,1,4,male:single,co-applicant,1,building society savings agreement/ life insurance,24,none,own,1,unskilled/resident,1,None,No,0
0-200 DM,9,3,6,1670,< 100 DM,1,4,female:divorced/separated/married,none,2,car or other,22,none,own,1,skilled employee,1,yes,Yes,1
No checking account,9,2,5,1224,< 100 DM,3,3,male:single,none,1,real estate,30,none,own,2,skilled employee,1,None,Yes,0
No checking account,12,2,6,522,500-1000 DM,2,4,male:single,none,4,building society savings agreement/ life insurance,42,none,own,2,skilled employee,2,yes,Yes,0
0 DM,12,3,6,1498,< 100 DM,3,4,female:divorced/separated/married,none,1,car or other,23,bank,own,1,skilled employee,1,None,Yes,0
0-200 DM,30,4,6,1919,100-500 DM,1,4,male:single,none,3,unknown/no property,30,stores,own,2,management/self employed,1,None,Yes,1
>200 DM,9,3,6,745,< 100 DM,3,3,female:divorced/separated/married,none,2,real estate,28,none,own,1,unskilled/resident,1,None,Yes,1
0-200 DM,6,3,6,2063,< 100 DM,1,4,male:married,none,3,car or other,30,none,rent,1,management/self employed,1,yes,Yes,0
0-200 DM,60,3,3,6288,< 100 DM,3,4,male:single,none,4,unknown/no property,42,none,free,1,skilled employee,1,None,Yes,1
No checking account,24,2,9,6842,no savings,3,2,male:single,none,4,building society savings agreement/ life insurance,46,none,own,2,management/self employed,2,yes,Yes,0
No checking account,12,3,5,3527,no savings,1,2,male:single,none,3,building society savings agreement/ life insurance,45,none,own,1,management/self employed,2,yes,Yes,0
No checking account,10,3,5,1546,< 100 DM,3,3,male:single,none,2,real estate,31,none,own,1,unskilled/resident,2,None,No,0
No checking account,24,3,4,929,no savings,4,4,male:single,none,2,car or other,31,stores,own,1,skilled employee,1,yes,Yes,0
No checking account,4,2,5,1455,< 100 DM,4,2,male:single,none,1,real estate,42,none,own,3,unskilled/resident,2,None,Yes,0
0 DM,15,3,4,1845,< 100 DM,1,4,female:divorced/separated/married,guarantor,1,building society savings agreement/ life insurance,46,none,rent,1,skilled employee,1,None,Yes,0
0-200 DM,48,5,5,8358,500-1000 DM,1,1,female:divorced/separated/married,none,1,car or other,30,none,own,2,skilled employee,1,None,Yes,0
0 DM,24,1,4,3349,500-1000 DM,1,4,male:single,none,4,unknown/no property,30,none,free,1,skilled employee,2,yes,Yes,1
No checking account,12,3,5,2859,no savings,5,4,male:single,none,4,unknown/no property,38,none,own,1,management/self employed,1,yes,Yes,0
No checking account,18,3,4,1533,< 100 DM,1,4,male:married,co-applicant,1,building society savings agreement/ life insurance,43,none,own,1,unskilled/resident,2,None,Yes,1
No checking account,24,3,6,3621,100-500 DM,2,2,male:single,none,4,car or other,31,none,own,2,skilled employee,1,None,Yes,1
0-200 DM,18,2,1,3590,< 100 DM,5,3,male:married,none,3,car or other,40,none,own,3,5,2,yes,Yes,0
0 DM,36,4,1,2145,< 100 DM,4,2,male:single,none,1,car or other,24,none,own,2,skilled employee,1,yes,Yes,1
0-200 DM,24,3,9,4113,500-1000 DM,1,3,female:divorced/separated/married,none,4,car or other,28,none,rent,1,skilled employee,1,None,Yes,1
No checking account,36,3,4,10974,< 100 DM,5,4,female:divorced/separated/married,none,2,car or other,26,none,own,2,management/self employed,1,yes,Yes,1
0 DM,12,3,5,1893,< 100 DM,3,4,female:divorced/separated/married,guarantor,4,building society savings agreement/ life insurance,29,none,own,1,skilled employee,1,yes,Yes,0
0 DM,24,2,6,1231,>1000 DM,2,4,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,57,none,rent,2,management/self employed,1,yes,Yes,0
>200 DM,30,2,6,3656,no savings,2,4,male:single,none,4,building society savings agreement/ life insurance,49,stores,own,2,unskilled/resident,1,None,Yes,0
0-200 DM,9,2,6,1154,< 100 DM,2,2,male:single,none,4,real estate,37,none,own,3,unskilled/resident,1,None,Yes,0
0 DM,28,3,5,4006,< 100 DM,3,3,male:single,none,2,car or other,45,none,own,1,unskilled/resident,1,None,Yes,1
0-200 DM,24,3,4,3069,100-500 DM,2,4,male:single,none,4,unknown/no property,30,none,free,1,skilled employee,1,None,Yes,0
No checking account,6,2,6,1740,< 100 DM,2,2,male:married,none,2,real estate,30,none,rent,2,skilled employee,1,None,Yes,0
0-200 DM,21,4,5,2353,< 100 DM,3,1,male:divorced/separated,none,4,building society savings agreement/ life insurance,47,none,own,2,skilled employee,1,None,Yes,0
No checking account,15,3,5,3556,no savings,3,3,male:single,none,2,unknown/no property,29,none,own,1,skilled employee,1,None,Yes,0
No checking account,24,3,6,2397,500-1000 DM,2,3,male:single,none,2,car or other,35,bank,own,2,skilled employee,1,yes,Yes,1
0-200 DM,6,3,7,454,< 100 DM,1,3,male:married,none,1,building society savings agreement/ life insurance,22,none,own,1,unskilled/resident,1,None,Yes,0
0-200 DM,30,3,6,1715,no savings,3,4,female:divorced/separated/married,none,1,car or other,26,none,own,1,skilled employee,1,None,Yes,0
0-200 DM,27,2,6,2520,500-1000 DM,3,4,male:single,none,2,building society savings agreement/ life insurance,23,none,own,2,unskilled/resident,1,None,Yes,1
No checking account,15,3,6,3568,< 100 DM,2,4,female:divorced/separated/married,none,2,car or other,54,bank,rent,1,management/self employed,1,yes,Yes,0
No checking account,42,3,6,7166,no savings,4,2,male:married,none,4,building society savings agreement/ life insurance,29,none,rent,1,skilled employee,1,yes,Yes,0
0 DM,11,2,5,3939,< 100 DM,3,1,male:single,none,2,real estate,40,none,own,2,unskilled/resident,2,None,Yes,0
0-200 DM,15,3,7,1514,100-500 DM,3,4,male:single,guarantor,2,real estate,22,none,own,1,skilled employee,1,None,Yes,0
No checking account,24,3,5,7393,< 100 DM,3,1,male:single,none,4,building society savings agreement/ life insurance,43,none,own,1,unskilled/resident,2,None,Yes,0
0 DM,24,1,5,1193,< 100 DM,5,1,female:divorced/separated/married,co-applicant,4,unknown/no property,29,none,rent,2,5,1,None,Yes,1
0 DM,60,3,1,7297,< 100 DM,2,4,male:single,co-applicant,4,unknown/no property,36,none,rent,1,skilled employee,1,None,Yes,1
No checking account,30,2,6,2831,< 100 DM,3,4,female:divorced/separated/married,none,2,car or other,33,none,own,1,skilled employee,1,yes,Yes,0
>200 DM,24,3,6,1258,500-1000 DM,3,3,female:divorced/separated/married,none,3,car or other,57,none,own,1,unskilled/resident,1,None,Yes,0
0-200 DM,6,3,6,753,< 100 DM,3,2,female:divorced/separated/married,guarantor,3,real estate,64,none,own,1,skilled employee,1,None,Yes,0
0-200 DM,18,4,1,2427,no savings,2,4,male:single,none,2,building society savings agreement/ life insurance,42,none,own,2,skilled employee,1,None,Yes,0
No checking account,24,4,5,2538,< 100 DM,2,4,male:single,none,4,car or other,47,none,own,2,unskilled/resident,2,None,Yes,1
0-200 DM,15,1,5,1264,100-500 DM,3,2,male:married,none,2,building society savings agreement/ life insurance,25,none,rent,1,skilled employee,1,None,Yes,1
0-200 DM,30,2,4,8386,< 100 DM,4,2,male:single,none,2,building society savings agreement/ life insurance,49,none,own,1,skilled employee,1,None,Yes,1
No checking account,48,3,1,4844,< 100 DM,5,3,male:single,none,2,car or other,33,bank,rent,1,management/self employed,1,yes,Yes,1
>200 DM,21,3,5,2923,100-500 DM,3,1,female:divorced/separated/married,none,1,car or other,28,bank,own,1,management/self employed,1,yes,Yes,0
0 DM,36,3,9,8229,< 100 DM,3,2,male:single,none,2,building society savings agreement/ life insurance,26,none,own,1,skilled employee,2,None,Yes,1
No checking account,24,2,4,2028,< 100 DM,4,2,male:single,none,2,building society savings agreement/ life insurance,30,none,own,2,unskilled/resident,1,None,Yes,0
0 DM,15,2,4,1433,< 100 DM,3,4,female:divorced/separated/married,none,3,building society savings agreement/ life insurance,25,none,rent,2,skilled employee,1,None,Yes,0
>200 DM,42,5,1,6289,< 100 DM,1,2,male:divorced/separated,none,1,building society savings agreement/ life insurance,33,none,own,2,skilled employee,1,None,Yes,0
No checking account,13,3,6,1409,100-500 DM,5,2,female:divorced/separated/married,none,4,real estate,64,none,own,1,skilled employee,1,None,Yes,0
0 DM,24,3,9,6579,< 100 DM,5,4,male:single,none,2,unknown/no property,29,none,free,1,management/self employed,1,yes,Yes,0
0-200 DM,24,2,6,1743,< 100 DM,2,4,male:single,none,2,building society savings agreement/ life insurance,48,none,own,2,unskilled/resident,1,None,Yes,0
No checking account,12,2,3,3565,no savings,1,2,male:single,none,1,building society savings agreement/ life insurance,37,none,own,2,unskilled/resident,2,None,Yes,0
No checking account,15,1,6,1569,100-500 DM,2,4,male:single,none,4,car or other,34,bank,own,1,unskilled/resident,2,None,Yes,0
0 DM,18,3,6,1936,no savings,4,2,male:married,none,4,car or other,23,none,rent,2,unskilled/resident,1,None,Yes,0
0 DM,36,3,4,3959,< 100 DM,5,4,male:single,none,3,building society savings agreement/ life insurance,30,none,own,1,management/self employed,1,yes,Yes,0
No checking account,12,3,5,2390,no savings,2,4,male:single,none,3,car or other,50,none,own,1,skilled employee,1,yes,Yes,0
No checking account,12,3,4,1736,< 100 DM,4,3,female:divorced/separated/married,none,4,real estate,31,none,own,1,unskilled/resident,1,None,Yes,0
0 DM,30,3,9,3857,< 100 DM,3,4,male:divorced/separated,none,4,building society savings agreement/ life insurance,40,none,own,1,management/self employed,1,yes,Yes,0
No checking account,12,3,6,804,< 100 DM,2,4,male:single,none,4,car or other,38,none,own,1,skilled employee,1,None,Yes,0
0 DM,45,3,6,1845,< 100 DM,3,4,male:single,none,4,unknown/no property,23,none,free,1,skilled employee,1,yes,Yes,1
0-200 DM,45,2,9,4576,100-500 DM,5,3,male:single,none,4,car or other,27,none,own,1,skilled employee,1,None,Yes,0
